,IntLoad_Corezn,IntLoad_Topzn1,IntLoad_Topzn2,IntLoad_Topzn3,IntLoad_Topzn4,DiffuseSolar,DirectSolar
2006-10-04 13:00:00,18729.085251440058,2073.964092084373,1335.53564434105,2073.921381527138,1335.5643352046231,160.0,2.0
2006-10-04 14:00:00,18498.529057504056,2073.967666579907,1335.5384256061616,2073.9238475790034,1335.5451999416841,128.0,2.0
2006-10-04 15:00:00,18483.064122358795,2073.972471372481,1335.5415066535588,2073.927915910469,1335.543065400394,103.0,2.0
2006-10-04 16:00:00,9291.092254878282,965.1841720562742,633.1644155660504,965.1632945802635,621.4456726468765,88.0,4.0
2006-10-04 17:00:00,6285.883171745807,650.632125424026,426.09736202297336,650.6179095191858,412.92262135302326,57.0,6.0
2006-10-04 18:00:00,6235.527692972662,672.1201377719054,433.5408796923024,672.4142663746068,434.7741266734406,0.0,0.0
2006-10-04 19:00:00,5948.871496795301,646.0054751276114,416.79869999625373,646.2363640502018,418.5216183219758,0.0,0.0
2006-10-04 20:00:00,5979.335784698214,647.2333478093248,417.5929291092615,647.4155042759171,419.50500745869385,0.0,0.0
2006-10-04 21:00:00,5332.853196906414,576.9661876664777,372.06801163874184,577.0425285323769,373.0738912824302,0.0,0.0
2006-10-04 22:00:00,5162.91618032975,559.5399932820748,360.76115638956514,559.6479407983691,361.36663695649236,0.0,0.0
2006-10-04 23:00:00,4862.198332617281,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-05 00:00:00,4816.692169684538,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-05 01:00:00,4830.508139922141,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-05 02:00:00,4972.878942668816,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
2006-10-05 03:00:00,6426.656690719305,521.0453549593917,335.7740982507046,521.0339615072152,335.7740982507046,0.0,0.0
