,Corezn,Perimeterzn1,Perimeterzn2,Perimeterzn3,Perimeterzn4,CoreznDAT,Perimeterzn1DAT,Perimeterzn2DAT,Perimeterzn3DAT,Perimeterzn4DAT,MAT,Coolingcoil_Outtemp,Fan_outtemp,RAT,OAT
2006-01-01 00:00:00,24.657837913251495,25.017513678308084,22.341848553752342,21.40078410662141,22.486558905953743,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,22.389294602590326,10.0
2006-01-01 01:00:00,24.450537472868007,24.360751792878325,21.891554059988536,21.018354147109754,21.992722518187577,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,22.00071102733636,8.9
2006-01-01 02:00:00,24.250323121757816,24.004711741411743,21.68012670830009,20.88031055736556,21.798296630505092,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,21.733757015689676,8.9
2006-01-01 03:00:00,24.017292408309075,23.801547035298917,21.6340428418168,20.880747551480653,21.74168128982231,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,21.442464195282223,8.9
2006-01-01 04:00:00,23.860377795730862,23.451058659396615,21.425781335487798,20.719809922691987,21.519122263355218,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,21.167881373647127,8.3
2006-01-01 05:00:00,23.687977109697325,22.823600761389848,20.900383719752597,20.253852078427016,21.006845350111526,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,20.832063278260506,7.799999999999999
2006-01-01 06:00:00,23.492996323651354,22.19085166899857,20.425618628083946,19.844810180698026,20.529058159814028,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,20.513762620372496,7.199999999999999
2006-01-01 07:00:00,23.347820471516535,21.920655245260566,20.268602731680673,19.734555254117325,20.367790722301493,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,20.32893620645705,7.8
2006-01-01 08:00:00,23.312621366862505,24.4356921047427,24.247734284736154,20.20018021789855,20.785481858615253,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,20.43283204893197,8.299999999999999
2006-01-01 09:00:00,23.47566303631551,27.4978606825621,26.73107340823637,20.654689693052507,21.247324431345046,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,21.25279282326291,11.699999999999996
2006-01-01 10:00:00,23.801880394379054,30.57595928291719,27.771336665571248,21.20878369751345,21.81481782461815,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,22.43642651395164,14.999999999999998
2006-01-01 11:00:00,24.22628045390017,33.316793804312184,27.32110661518808,22.099878654239454,22.77686208667392,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,23.70270106435582,16.7
2006-01-01 12:00:00,24.737111673034725,36.06033647591728,26.609301071627776,23.001264920403564,23.770067672651074,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,25.3679189262388,16.7
2006-01-01 13:00:00,25.151233904548874,37.27728367590092,26.244261118827875,23.36241082773759,25.03899787035005,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,26.197136747495048,17.800000000000004
2006-01-01 14:00:00,25.517637797611233,37.55101388365659,26.36332956085918,23.97038938031394,27.663654332049227,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,27.004827533663526,17.799999999999997
2006-01-01 15:00:00,25.74759105815096,35.340691111843164,26.565683168022662,24.35308028109486,28.205196725146806,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,27.181642150713706,18.299999999999997
2006-01-01 16:00:00,25.917075689179967,33.99460232217649,26.241354242757,24.325313646161582,29.468283309962423,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,26.969331961347443,18.899999999999995
2006-01-01 17:00:00,25.86912681276145,31.265267135047537,25.423049090553565,23.77854578420314,27.303166935294225,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,26.369260170140006,17.2
2006-01-01 18:00:00,25.66994404912667,29.558663637919402,24.75164650381467,23.228657619771006,25.759243835662364,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,25.352990544499015,14.999999999999998
2006-01-01 19:00:00,25.454142371197456,28.367552354715663,24.24015993631677,22.8412767363822,24.775860215883874,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,24.556350174884283,15.0
