,CoiloutletEnthalpy,CoilinletEnthalpy,Chillerpower,Fanpower,HeatSP,CoolSPCore,CoolSPPerimeter1,CoolSPPerimeter2,CoolSPPerimeter3,CoolSPPerimeter4,Drybulb,Wetbulb,HVAC_Corezn,HVAC_Topzn1,HVAC_Topzn2,HVAC_Topzn3,HVAC_Topzn4
2006-01-01 00:00:00,34602.90631308571,34602.90631308571,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,10.0,7.712730729545918,0.0,0.0,0.0,0.0,0.0
2006-01-01 01:00:00,34278.74336691859,34278.74336691859,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,8.9,7.222819241087074,0.0,0.0,0.0,0.0,0.0
2006-01-01 02:00:00,34046.72946487603,34046.72946487603,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,8.9,7.222819241087074,0.0,0.0,0.0,0.0,0.0
2006-01-01 03:00:00,33801.31301976736,33801.31301976736,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,8.9,6.963159831917376,0.0,0.0,0.0,0.0,0.0
2006-01-01 04:00:00,33508.14038818928,33508.14038818928,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,8.3,6.659841326787287,0.0,0.0,0.0,0.0,0.0
2006-01-01 05:00:00,33176.66431315463,33176.66431315463,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,7.8,6.107187632988849,0.0,0.0,0.0,0.0,0.0
2006-01-01 06:00:00,32902.60064329728,32902.60064329728,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,7.2,5.7868237151747906,0.0,0.0,0.0,0.0,0.0
2006-01-01 07:00:00,32747.60330213039,32747.60330213039,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,7.8,6.108044527071632,0.0,0.0,0.0,0.0,0.0
2006-01-01 08:00:00,32871.427945343654,32871.427945343654,0.0,0.0,15.600000381469698,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,8.3,6.323154796627211,0.0,0.0,0.0,0.0,0.0
2006-01-01 09:00:00,33715.25700044001,33715.25700044001,0.0,0.0,15.600000381469696,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,11.7,7.785843665249264,0.0,0.0,0.0,0.0,0.0
2006-01-01 10:00:00,34898.1853788339,34898.1853788339,0.0,0.0,15.600000381469696,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,15.0,8.610759209347922,0.0,0.0,0.0,0.0,0.0
2006-01-01 11:00:00,36165.47645742957,36165.47645742957,0.0,0.0,15.600000381469703,24.0,24.0,24.0,24.0,24.0,16.7,9.413432159520207,0.0,0.0,0.0,0.0,0.0
2006-01-01 12:00:00,37837.744698129376,37837.744698129376,0.0,0.0,15.600000381469703,24.0,24.0,24.0,24.0,24.0,16.7,9.41010727674503,0.0,0.0,0.0,0.0,0.0
2006-01-01 13:00:00,38677.634408695776,38677.634408695776,0.0,0.0,15.600000381469702,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,17.8,10.107321251983326,0.0,0.0,0.0,0.0,0.0
2006-01-01 14:00:00,39495.93619024095,39495.93619024095,0.0,0.0,15.600000381469696,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,17.8,10.107321251983326,0.0,0.0,0.0,0.0,0.0
2006-01-01 15:00:00,39675.08955977093,39675.08955977093,0.0,0.0,15.600000381469698,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,18.3,10.054546117315152,0.0,0.0,0.0,0.0,0.0
2006-01-01 16:00:00,39447.51731032871,39447.51731032871,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,18.9,10.35045898144762,0.0,0.0,0.0,0.0,0.0
2006-01-01 17:00:00,38818.62764176783,38818.62764176783,0.0,0.0,15.600000381469696,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,17.2,9.51833810136006,0.0,0.0,0.0,0.0,0.0
2006-01-01 18:00:00,37788.14991792091,37788.14991792091,0.0,0.0,15.600000381469698,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,23.999999999999993,15.0,8.972266350304546,0.0,0.0,0.0,0.0,0.0
2006-01-01 19:00:00,36980.1714679299,36980.1714679299,0.0,0.0,15.600000381469702,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,15.0,8.850266670224006,0.0,0.0,0.0,0.0,0.0
2006-01-01 20:00:00,36424.63052291546,36424.63052291546,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,14.4,8.610250536504667,0.0,0.0,0.0,0.0,0.0
2006-01-01 21:00:00,35738.2538814082,35738.2538814082,0.0,0.0,15.6000003814697,24.0,24.0,24.0,24.0,24.0,13.3,8.06401664473294,0.0,0.0,0.0,0.0,0.0
2006-01-01 22:00:00,35277.68472832197,35277.68472832197,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,13.9,7.7412678067704785,0.0,0.0,0.0,0.0,0.0
2006-01-01 23:00:00,34732.849000216935,34732.849000216935,0.0,0.0,15.600000381469698,24.0,24.0,24.0,24.0,24.0,12.8,6.982649773621146,0.0,0.0,0.0,0.0,0.0
2006-01-02 00:00:00,34456.30566044734,34456.30566044734,0.0,0.0,15.6,24.0,24.0,24.0,24.0,24.0,13.3,7.264865496172261,0.0,0.0,0.0,0.0,0.0
2006-01-02 01:00:00,34143.976221310746,34143.976221310746,0.0,0.0,15.6,24.0,24.0,24.0,24.0,24.0,12.8,6.756643037536741,0.0,0.0,0.0,0.0,0.0
2006-01-02 02:00:00,33806.407482977665,33806.407482977665,0.0,0.0,15.6,24.0,24.0,24.0,24.0,24.0,12.8,6.532116577875117,0.0,0.0,0.0,0.0,0.0
2006-01-02 03:00:00,33512.27853089529,33512.27853089529,0.0,0.0,15.6,24.0,24.0,24.0,24.0,24.0,12.8,6.417732282631547,0.0,0.0,0.0,0.0,0.0
2006-01-02 04:00:00,33255.770061345815,33255.770061345815,0.0,0.0,17.8,24.0,24.0,24.0,24.0,24.0,11.1,5.526053029195141,0.0,0.0,0.0,0.0,0.0
2006-01-02 05:00:00,32894.78503064053,32894.78503064053,0.0,0.0,20.0,24.0,24.0,24.0,24.0,24.0,11.1,5.523182379278997,0.0,0.0,0.0,0.0,0.0
2006-01-02 06:00:00,24840.633709821333,24840.633709821333,0.0,2035.9655726171143,21.0,24.0,24.0,24.0,24.0,24.0,12.8,5.955985673784679,-16269.20708458691,-2672.8596802713146,-814.4555927342922,-14.83565063360459,-943.7806063738881
2006-01-02 07:00:00,25702.96909637597,25702.96909637597,0.0,2035.9655726171143,21.0,24.0,24.0,24.0,24.0,24.0,12.2,5.733102283799546,-15640.32482725406,-2548.9983296175446,-592.198065124612,-75.26814681651611,-694.6875675728647
2006-01-02 08:00:00,25155.22042392523,25155.22042392523,0.0,2035.965572617114,21.0,24.0,24.0,24.0,24.0,24.0,12.8,5.9629354004192505,-17634.724434471827,-2900.671882699582,-1774.6119294366626,-2219.3741292376417,-2229.2110988377135
2006-01-02 09:00:00,23290.977062479928,23310.412600400636,143.70914138898766,2553.1865823547673,21.0,24.0,24.0,24.0,24.0,24.0,15.0,7.100311570988108,-19885.323163123532,-7521.36965081969,-3468.074793801091,-2469.391418821588,-2438.718203095834
2006-01-02 10:00:00,22918.29365760089,24435.21770375527,1921.1522700347791,4668.3901999928075,21.0,24.0,24.0,24.0,24.0,24.0,16.1,7.626418403694034,-26100.480926872435,-17578.615454446866,-5949.196095976609,-2754.7456894882926,-2701.000841408269
2006-01-02 11:00:00,21382.971666338664,25202.618316827917,6424.150438621686,4555.121102765288,21.0,24.0,24.0,24.0,24.0,24.0,17.2,7.973652715179421,-30965.549611424718,-19993.29702879209,-4637.719635188531,-3417.8057667941202,-3326.0130557252314
2006-01-02 12:00:00,21936.931175308182,24248.092551943206,3508.762018688259,3698.0461077385403,21.0,24.0,24.0,24.0,24.0,24.0,17.2,7.536298644798445,-28368.34261810857,-10589.23155602374,-2734.3170162968563,-2994.408986064933,-2889.4151664067913
